FILE_ACCESS,LOGOUT,FILE_ACCESS,NONE,NONE,LOGIN,0
LOGIN,PRIV_ESC,DATA_EXFIL,DATA_EXFIL,NONE,NONE,2
LOGIN,FILE_ACCESS,LOGIN,LOGOUT,NONE,LOGOUT,0
LOGIN,FILE_ACCESS,LOGOUT,LOGIN,FILE_ACCESS,LOGOUT,0
LOGOUT,LOGOUT,NONE,FILE_ACCESS,LOGIN,NONE,0
LOGIN,PRIV_ESC,DATA_EXFIL,PRIV_ESC,LOGOUT,FAILED_LOGIN,2
LOGIN,PRIV_ESC,DATA_EXFIL,PASSWORD_RESET,PRIV_ESC,NONE,2
LOGIN,LOGIN,FILE_ACCESS,LOGIN,FILE_ACCESS,FILE_ACCESS,0
LOGIN,LOGIN,LOGIN,LOGOUT,FILE_ACCESS,LOGIN,0
FILE_ACCESS,NONE,FILE_ACCESS,FILE_ACCESS,LOGIN,FILE_ACCESS,0
FILE_ACCESS,NONE,LOGIN,LOGIN,FILE_ACCESS,FILE_ACCESS,0
FILE_ACCESS,FILE_ACCESS,NONE,NONE,LOGIN,LOGIN,0
NONE,LOGIN,LOGOUT,LOGIN,LOGOUT,LOGIN,0
NONE,LOGIN,LOGOUT,LOGIN,LOGIN,LOGOUT,0
NONE,LOGOUT,NONE,FILE_ACCESS,FILE_ACCESS,LOGIN,0
FAILED_LOGIN,FAILED_LOGIN,FAILED_LOGIN,LOGOUT,DATA_EXFIL,LOGOUT,3
FAILED_LOGIN,FAILED_LOGIN,FAILED_LOGIN,PRIV_ESC,PASSWORD_RESET,DATA_EXFIL,3
LOGOUT,NONE,LOGOUT,NONE,LOGIN,FILE_ACCESS,0
FILE_ACCESS,NONE,LOGIN,FILE_ACCESS,LOGOUT,LOGIN,0
LOGIN,PRIV_ESC,FILE_ACCESS,LOGOUT,FILE_ACCESS,FILE_ACCESS,1
LOGIN,PRIV_ESC,FILE_ACCESS,LOGOUT,FILE_ACCESS,LOGIN,1
LOGIN,PRIV_ESC,DATA_EXFIL,DATA_EXFIL,LOGOUT,LOGOUT,2
LOGIN,FILE_ACCESS,LOGIN,FILE_ACCESS,FILE_ACCESS,FILE_ACCESS,0
LOGIN,PRIV_ESC,DATA_EXFIL,FILE_ACCESS,PASSWORD_RESET,PRIV_ESC,2
LOGIN,NONE,NONE,LOGOUT,LOGOUT,LOGIN,0
LOGIN,PRIV_ESC,DATA_EXFIL,DATA_EXFIL,PRIV_ESC,PRIV_ESC,2
NONE,LOGOUT,NONE,FILE_ACCESS,NONE,LOGOUT,0
LOGIN,PRIV_ESC,FILE_ACCESS,LOGOUT,LOGIN,PRIV_ESC,1
FILE_ACCESS,LOGOUT,LOGIN,LOGOUT,LOGIN,NONE,0
LOGOUT,FILE_ACCESS,LOGIN,NONE,LOGOUT,LOGIN,0
NONE,LOGOUT,NONE,LOGIN,LOGIN,NONE,0
NONE,LOGOUT,LOGIN,LOGOUT,LOGOUT,FILE_ACCESS,0
LOGIN,LOGIN,NONE,LOGOUT,FILE_ACCESS,FILE_ACCESS,0
NONE,LOGOUT,LOGIN,LOGIN,LOGIN,NONE,0
FILE_ACCESS,LOGOUT,FILE_ACCESS,NONE,NONE,FILE_ACCESS,0
LOGIN,LOGIN,FILE_ACCESS,FILE_ACCESS,FILE_ACCESS,LOGIN,0
LOGOUT,FILE_ACCESS,FILE_ACCESS,LOGIN,LOGIN,FILE_ACCESS,0
NONE,FILE_ACCESS,NONE,FILE_ACCESS,FILE_ACCESS,LOGOUT,0
